timestamp,delta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,middleGamma,theta,isValid,pid
1553843834217,7859,2036,5054,3061,1684,1038,57876,15495,1,32
1553843835194,2361,3786,12090,14588,3914,3989,15727,10171,1,32
1553843836213,5732,68539,15186,9910,6083,11314,730269,199323,1,32
1553843837180,20525,26608,10264,6574,2158,5393,171671,78864,1,32
1553843838181,36919,14860,19503,29988,10365,11183,110900,10258,1,32
1553843839181,37581,42654,24437,23171,5813,19947,189496,254186,1,32
1553843840180,12567,3640,3773,2377,1361,3558,43551,21562,1,32
1553843841168,13238,32307,6724,9079,3008,2592,610465,428884,1,32
1553843842170,8449,11230,9773,2619,1907,1800,358672,226442,1,32
1553843843149,11173,24096,4354,8829,2362,5914,45467,31540,1,32
1553843844155,25815,30511,4756,26609,3633,6056,1203001,138505,1,32
1553843845175,4923,12220,2544,5793,1793,3185,99650,25110,1,32
1553843846152,4079,20457,5240,4455,1880,2469,77223,29171,1,32
1553843847139,33650,4861,9688,11730,13975,5276,34762,16360,1,32
1553843848147,823,830,1034,5390,533,1367,154995,32885,1,32
1553843849140,2353,4724,4479,1385,1608,3382,34954,3879,1,32
1553843850122,3596,1972,2128,1504,1214,996,45259,8406,1,32
1553843851125,10427,8340,12223,6592,2585,5986,28021,25942,1,32
1553843852108,10982,7638,9750,2924,538,1559,194993,9566,1,32
1553843853118,5299,15226,5988,6759,1277,2509,256803,73246,1,32
1553843854094,14583,70077,13891,16141,4353,5331,131458,34295,1,32
1553843855116,1934,1025,998,1078,873,709,119227,17433,1,32
1553843856105,4779,2134,3316,4869,814,2232,109984,13083,1,32
1553843857077,3644,5055,5214,4216,1200,1434,164200,33824,1,32
1553843858078,1499,1604,3217,3139,2091,911,6358,4582,1,32
1553843859083,11532,11145,2428,6362,866,1513,111009,54622,1,32
1553843860082,8186,13103,2686,1080,1779,656,64038,59161,1,32
1553843861073,4281,2378,3394,4541,2642,797,17388,26196,1,32
1553843862110,7497,3568,4349,8194,2556,2823,109432,50678,1,32
1553843863057,3281,5144,5087,9898,1653,905,50208,5443,1,32
1553843864050,1455,6964,4136,3937,1629,996,49140,5900,1,32
1553843865061,445,1795,2201,4293,1394,1220,182080,35063,1,32
1553843866057,17208,7668,11780,8589,6961,5264,46457,16045,1,32
1553843867033,6880,667,6203,3444,982,1333,78682,47967,1,32
1553843868043,11186,8001,6296,7249,925,870,116943,84663,1,32
1553843869044,8079,4542,30629,11229,5147,14558,1099663,110386,1,32
1553843870042,1674,2136,4125,10117,592,514,31307,40515,1,32
1553843871006,4690,3757,1544,8941,615,819,32256,8807,1,32
1553843872022,6385,13062,6859,4458,630,2078,95029,47582,1,32
1553843873028,1169,2058,2546,1723,150,271,83520,14855,1,32
1553843874012,2686,10475,4922,1454,753,842,46020,95455,1,32
1553843874994,6410,2079,1854,6074,1718,995,115814,10357,1,32
1553843876000,3852,5491,1993,5955,1329,1192,134535,45650,1,32
1553843876996,12230,1754,2541,14636,2273,2628,19763,8158,1,32
1553843877981,6978,9265,7000,26228,2587,3148,20320,30308,1,32
1553843878997,1305,3717,2414,2995,499,585,112003,33080,1,32
1553843879971,1258,3153,3662,2739,3308,4100,43311,19294,1,32
1553843880982,45424,19607,21883,28202,4220,10699,445310,30501,1,32
1553843881965,4045,10497,1925,2427,3088,1092,79287,49009,1,32
1553843882975,8113,11569,1818,7791,1620,2268,88950,35606,1,32
1553843883950,5760,9230,3126,5258,949,1510,172933,43453,1,32
1553843884958,7280,4730,2901,3870,909,2442,42867,28585,1,32
1553843885956,3301,593,4889,6395,522,874,665670,37575,1,32
1553843886938,3008,12700,11693,4617,2043,5626,49809,13029,1,32
1553843887962,1675,14599,2907,4159,461,957,59972,74081,1,32
1553843888921,2920,21125,2688,5139,749,1268,54052,55866,1,32
1553843889923,8940,10298,6559,4988,1301,703,74987,38773,1,32
1553843890924,29023,63485,9804,41165,11104,6463,2430703,963576,1,32
1553843891907,1698,2891,5181,1567,1135,2741,9288,5363,1,32
1553843892925,7183,2316,5594,3968,1709,933,175329,71951,1,32
1553843893894,5720,1389,2652,792,1403,1564,261715,60292,1,32
1553843894898,1300,10315,2686,3292,889,1826,43708,19745,1,32
1553843895896,6569,7132,1809,2352,1087,920,14766,18555,1,32
1553843896893,18016,11153,6385,6322,2796,3967,189348,32562,1,32
1553843897894,2602,14297,2972,4377,596,2290,31784,50533,1,32
1553843898904,8574,8328,10063,20792,5232,4150,938823,143328,1,32
1553843899883,2112,4008,1382,1178,579,1760,29223,17783,1,32
1553843900887,11539,24099,15170,9617,3888,2424,13908,19915,1,32
1553843901881,4929,5271,3255,3007,622,830,299889,27437,1,32
1553843902853,823,2632,548,694,195,485,67255,6323,1,32
1553843903853,2233,2281,1031,774,195,283,126751,21419,1,32
1553843904862,1784,10859,6929,1592,1177,637,108767,36394,1,32
1553843905851,24090,28887,15957,17628,2545,4421,401679,123656,1,32
1553843906836,4624,1956,3477,3289,1430,1274,17451,1979,1,32
1553843907839,6512,10434,2499,3243,1056,1313,38202,50964,1,32
1553843908840,13646,11335,16283,28069,4219,3869,282207,143089,1,32
1553843909823,3056,6880,9028,2540,833,1977,36695,8795,1,32
1553843910815,1964,1805,3739,2779,1815,556,6251,2957,1,32
1553843911821,5405,3339,18533,11872,5356,3725,30336,10112,1,32
1553843912805,762,2065,1075,2110,515,1157,218278,25780,1,32
1553843913808,1025,3190,1077,1585,122,141,43167,10879,1,32
1553843914813,1785,18448,1923,2122,1962,678,167554,57232,1,32
1553843915823,7331,3683,4561,6265,1083,2067,780745,43969,1,32
1553843916799,10557,8590,26575,16755,3624,6655,2262089,149439,1,32
1553843917796,10917,8628,5571,4774,2377,2780,153701,39834,1,32
1553843918775,2012,6150,3561,4176,776,2535,255685,26007,1,32
1553843919764,13880,19443,21456,27114,1960,5481,219594,52626,1,32
1553843920783,2783,3870,4529,3159,1557,1275,85307,74489,1,32
1553843921766,2906,2639,3136,6599,945,871,33817,2888,1,32
1553843922766,3954,4557,3408,1224,708,2295,40765,24547,1,32
1553843923750,9513,11069,16252,12859,6489,3320,44295,60082,1,32
1553843924748,6456,3394,2770,1677,837,724,32761,15330,1,32
1553843925732,19745,24545,7253,14556,4507,3325,208497,95125,1,32
1553843926736,5587,4893,2903,2492,921,1487,26617,10312,1,32
1553843927739,3403,11598,4756,6225,1389,3274,8488,29790,1,32
1553843928726,2537,816,9131,1329,892,1105,25029,13109,1,32
1553843929737,2190,3918,6346,1701,608,685,224912,24080,1,32
1553843930711,2221,15462,2779,2650,863,513,35616,60097,1,32
1553843931707,9592,21762,13294,13654,3066,4443,7799,16082,1,32
1553843932717,3560,6968,3558,8176,632,1329,24043,4727,1,32
1553843933711,9310,8042,3401,3459,447,1078,45948,27222,1,32
1553843934692,8522,10472,16348,13172,6103,20838,108177,38076,1,32
1553843935694,1137,3905,1224,4210,1632,1209,163767,25384,1,32
1553843936675,13150,16948,2894,4432,813,1981,255098,50961,1,32
1553843937680,926,1177,3004,3309,918,1576,10448,4185,1,32
1553843938699,57649,53167,30793,23339,10893,13441,1265235,58268,1,32
1553843939674,6123,6574,6161,9653,2034,942,79934,30806,1,32
1553843940663,7704,15401,12081,8149,5045,3730,62500,49054,1,32
1553843941666,8800,24292,14085,12257,3922,6135,83934,40541,1,32
1553843942647,9952,12794,14268,9981,3826,3965,110693,33915,1,32
1553843943651,2319,3384,4417,8307,1581,1468,126467,33454,1,32
1553843944657,10842,33140,15980,8105,4757,4840,96017,75452,1,32
1553843945649,13780,11202,18955,17486,3631,6214,33487,24008,1,32
1553843946652,15446,6901,11680,18484,2563,3528,54124,19862,1,32
1553843947635,1971,9374,4004,5269,992,1438,85479,40293,1,32
1553843948641,5297,16539,13101,11077,3927,2563,20743,60495,1,32
1553843949618,7270,21589,18752,18041,3182,8596,169500,118447,1,32
1553843950620,118501,20369,49741,48253,26518,16214,1571604,372492,1,32
1553843951605,7671,25626,14235,10716,4657,17327,42506,38587,1,32
1553843952613,2503,1317,2818,1732,1364,548,203155,26162,1,32
1553843953599,27737,64625,22955,6150,15608,20070,985026,74827,1,32
1553843954588,35555,17206,57074,40241,19770,21375,1754442,133504,1,32
1553843955611,3587,20597,8054,8427,4174,6376,313675,21959,1,32
1553843956586,32530,26090,11227,7267,6626,16182,42758,33904,1,32
1553843957595,1168,2832,2822,7252,1822,3365,206500,31721,1,32
1553843958576,16294,34705,14107,9101,6086,29631,176115,74913,1,32
1553843959561,21491,2563,16600,30236,6229,19625,202789,30155,1,32
1553843960564,7379,7895,6598,20930,4946,12192,713926,130181,1,32
1553843961564,36148,37392,63293,15823,17936,20819,502486,78220,1,32
1553843962552,1145,9911,6387,5396,1450,3019,161224,17832,1,32
1553843963547,4465,1975,5965,3160,4283,4956,51175,21051,1,32
1553843964547,478517,297913,67297,146639,143804,174341,1432033,547933,1,32
1553843965556,36798,111925,32347,24405,32548,79606,1523203,256524,1,32
1553843966532,609,758,1753,3201,1954,1754,131687,1898,1,32
1553843967531,31452,1693,58243,10815,10984,19097,662105,76161,1,32
1553843968524,20108,80555,20563,12624,7767,20258,1192692,274677,1,32
1553843969540,10038,28289,13542,14537,2141,6471,162629,92730,1,32
1553843970521,33695,23520,36303,66806,21411,19765,179390,50088,1,32
1553843971528,3374,6193,6313,11338,2806,11227,676494,35973,1,32
1553843972509,15113,24601,17905,9491,1692,11523,2023262,69217,1,32
1553843973503,696,483,1181,1591,2808,2642,63962,13572,1,32
1553843974491,13289,5138,5244,6768,9150,5462,632214,35603,1,32
1553843975491,11667,8218,5247,5022,1966,3980,129111,15685,1,32
1553843976492,2080,6604,2803,1218,543,1985,41695,13096,1,32
1553843977476,3895,2276,3767,7910,1688,905,163689,6532,1,32
1553843978492,3629,9004,3568,6524,670,803,53229,31865,1,32
1553843979476,37707,51688,39454,139397,4366,9971,121092,141005,1,32
1553843980464,39472,46948,15764,44326,4907,4798,1125045,130656,1,32
1553843981462,7658,14371,17395,13978,4808,3998,129482,282971,1,32
1553843982462,5224,7104,1214,7289,785,2397,36864,25346,1,32
1553843983447,8064,22773,22154,13532,5617,3952,1096240,123004,1,32
1553843984456,8080,7406,9787,38693,7797,4467,191834,99281,1,32
1553843985477,5443,680,2459,1060,1930,2893,50171,14480,1,32
1553843986436,6901,29688,8640,4500,6555,8354,81638,101880,1,32
1553843987450,8081,10105,5950,8138,6789,7868,297014,37363,1,32
1553843988427,16430,16201,21412,48190,1189,3552,128408,86467,1,32
1553843989436,2802,6798,2208,2891,451,831,489484,15096,1,32
1553843990422,24083,40518,24309,11585,2697,2455,74055,42943,1,32
1553843991404,9232,18648,3063,8772,4091,3313,149854,74052,1,32
1553843992406,8812,15768,27191,18430,6676,8068,94359,42948,1,32
1553843993408,3383,4296,4560,4159,861,862,1261990,20630,1,32
1553843994412,105148,118203,14923,70205,15674,27854,793254,283770,1,32
1553843995391,6285,4928,11781,2847,1945,2928,89055,35478,1,32
1553843996376,27029,12562,15473,3231,9500,8543,313143,45569,1,32
1553843997392,13844,16719,33243,16595,19880,19990,183838,49322,1,32
1553843998395,660,10493,4293,1864,1983,3635,45300,13129,1,32
1553843999385,10146,44887,19526,4933,7569,17443,29619,45795,1,32
1553844000358,7324,12759,19256,6241,7980,10562,41655,15219,1,32
1553844001366,18826,29222,27711,28958,4000,6311,44135,48899,1,32
1553844002364,1933,4769,6210,6232,2266,2293,57046,11531,1,32
1553844003345,12010,9871,19774,41264,3320,6421,19311,18090,1,32
1553844004347,5386,40624,14139,23944,4547,7449,225809,275127,1,32
1553844005347,7227,2730,21951,20552,4330,4238,16362,12300,1,32
1553844006355,4059,2081,2118,3133,1897,1585,27344,26658,1,32
1553844007352,2333,11700,6282,10116,5894,8134,9221,7069,1,32
1553844008340,10394,4957,5578,26111,4588,4216,16183,33192,1,32
1553844009320,42377,9505,23649,22649,4689,8965,10565,29906,1,32
1553844010302,3382,4004,9788,7702,1540,1575,63438,28851,1,32
1553844011320,2618,1280,1652,10303,2179,948,8749,2565,1,32
1553844012310,5463,5947,16552,8060,3475,5762,19443,36469,1,32
1553844013312,8301,3488,24952,2332,9103,6938,9906,17608,1,32
1553844014294,4026,2105,11161,3764,2017,6642,25048,5160,1,32
1553844015307,2267,3305,3680,2243,1932,750,103585,3979,1,32
1553844016305,2595,11924,6504,5297,1047,3143,8862,44148,1,32
1553844017303,28920,48854,50631,25902,6788,11205,1009154,210791,1,32
1553844018276,30125,58657,13237,25808,13337,9202,1329348,72419,1,32
1553844019279,11089,7088,31832,8995,3150,6904,408940,148637,1,32
1553844020275,1102,4928,4463,4290,1200,2481,79999,69457,1,32
1553844021304,25836,70648,18335,50892,6255,7589,778548,364573,1,32
1553844022260,7280,9855,23457,37799,6390,13026,10805,52511,1,32
1553844023263,99236,17905,16912,48935,7307,8004,2008136,101919,1,32
1553844024263,43680,33620,25789,22674,9080,20221,751096,276379,1,32
1553844025245,6892,6158,4667,1367,2341,3457,279946,13243,1,32
1553844026231,19092,8795,3941,11554,3643,6951,663020,42742,1,32
1553844027234,7461,18351,10388,4052,8706,11586,113736,88947,1,32
1553844028237,20492,10473,9531,19671,23539,29826,895098,61166,1,32
1553844029218,2422,4014,4933,5388,3915,3200,184099,39077,1,32
1553844030201,18243,23877,22266,27379,10995,19426,592009,362084,1,32
1553844031217,19416,5231,7704,10431,8232,9355,79699,62449,1,32
1553844032218,4291,17009,7230,1903,2962,7327,835786,75848,1,32
1553844033200,20314,27888,41928,43653,15750,25183,2094471,399084,1,32
1553844034206,46380,116634,69186,43821,9142,54564,1441574,197882,1,32
1553844035187,65942,88753,128029,200538,4605,19539,2335207,324773,1,32
1553844036195,10520,16210,9637,9149,3349,6439,593500,64960,1,32
1553844037172,15487,15510,8794,9662,4576,3143,543783,278663,1,32
1553844038190,64043,37623,54462,137479,23316,24019,707936,584741,1,32
1553844039179,24203,27497,6780,20140,5660,11419,737082,53745,1,32
1553844040174,70090,20008,81069,77814,24858,13611,2520995,164435,1,32
1553844041160,162100,137399,55311,29471,7587,16787,512853,299656,1,32
1553844042154,1153,2159,3100,3278,417,1658,23641,27440,1,32
1553844043162,30387,90468,71153,34716,24477,16992,1040979,623352,1,32
1553844044145,5730,9073,12537,6233,5768,14532,111735,14896,1,32
1553844045127,9388,3664,75787,16062,33263,18862,12768,27670,1,32
1553844046137,2158,5062,3040,5907,1188,1636,58050,80003,1,32
1553844047149,9095,6153,8373,7639,2621,6720,134696,16812,1,32
1553844048117,12341,6486,7978,3707,3022,7235,178845,30676,1,32
1553844049115,9246,8922,5158,10163,3878,3274,160173,162972,1,32
1553844050106,28086,8646,5610,7612,11479,9713,311356,78690,1,32
1553844051099,5831,4883,6545,4264,6214,17476,101677,25529,1,32
1553844052120,4066,25013,10907,6028,5610,4185,241287,46683,1,32
1553844053084,2636,10964,12643,8611,7108,4858,881032,37442,1,32
1553844054102,3311,1351,8503,2093,3473,7912,17726,5058,1,32
1553844055106,48386,24330,29425,27902,13606,17208,485193,306206,1,32
1553844056085,15243,22101,19838,23168,19565,18660,82855,36523,1,32
1553844057094,854,846,7883,2288,817,3817,270705,24628,1,32
1553844058068,10111,4797,15497,7627,5072,3840,120404,28802,1,32
1553844059073,2101,6831,7020,3739,5321,5649,157965,17448,1,32
1553844060075,12198,5283,8162,9301,3859,2755,119322,19219,1,32
1553844061074,18878,9476,31696,22433,8802,23644,69720,47674,1,32
1553844062047,84133,33305,59891,33381,12307,21593,2055863,79237,1,32
1553844063044,11573,38261,25537,7922,7347,17349,1419543,71214,1,32
1553844064065,11101,845,12084,6508,4325,5757,69138,68960,1,32
1553844065044,7057,10140,31421,7972,23621,28108,140641,42410,1,32
1553844066026,5529,45876,9812,6414,11278,9257,1216632,55869,1,32
1553844067030,4744,8221,91252,23543,14695,41170,24123,18506,1,32
1553844068029,3415,3415,9402,3828,3020,8076,231349,60736,1,32
1553844069014,40676,36662,37823,36718,13145,15391,1145316,166980,1,32
1553844069999,1418,12459,5429,3234,1545,4469,116896,25862,1,32
1553844070999,1997,2774,9217,6625,6492,8578,119476,31606,1,32
1553844072018,6873,39053,22461,6389,2510,2682,125115,62311,1,32
1553844072986,499,1656,8814,2759,5209,8254,155256,10054,1,32
1553844074002,21497,43602,39830,22910,9912,22310,1153861,389048,1,32
1553844075009,1453,2164,9206,2273,4568,5253,3580,2316,1,32
1553844075986,8467,14316,14240,5290,4131,8631,159052,38987,1,32
1553844076991,10040,4331,5356,6219,1430,2392,333408,30731,1,32
1553844077971,4117,7323,2367,3540,990,3607,469464,59499,1,32
1553844078973,4597,6290,4650,4908,4488,9300,275431,33379,1,32
1553844079973,9350,11569,31598,12283,17457,33233,152806,86587,1,32
1553844080959,1333,8720,3451,2162,2282,1838,66552,15271,1,32
1553844081944,21700,17290,7777,5449,5366,6297,444150,50846,1,32
1553844082953,10126,40038,23173,9783,8839,16156,185082,41156,1,32
1553844083943,273,3951,8261,3350,2451,5484,820387,66382,1,32
1553844084945,1397,3807,8302,1661,3098,2818,32609,13287,1,32
1553844085936,1163,6259,2891,3688,2023,2679,86833,28527,1,32
1553844086931,13528,9981,47979,25903,15258,11903,98236,73936,1,32
1553844087931,12549,12528,21668,13876,39987,23530,775984,81726,1,32
1553844088919,20472,6353,11876,5664,6651,17738,514650,132719,1,32
1553844089903,36580,33137,15340,5599,6423,27199,1223248,79239,1,32
1553844090910,41842,38994,60901,17416,8316,47495,789452,350518,1,32
1553844091917,27199,21959,14013,16481,5681,4962,381373,61616,1,32
1553844092901,87836,5045,17967,58813,13740,24185,977104,70053,1,32
1553844093904,34238,18462,12047,8585,14835,8288,1033427,73501,1,32
1553844094885,5542,5028,15748,3085,19553,21478,198844,75414,1,32
1553844095885,7667,7032,8147,7914,4750,2658,143690,30772,1,32
1553844096869,5055,3036,13677,16193,16299,11506,14850,40023,1,32
1553844097888,15765,3734,11766,16966,7051,6815,2088,11782,1,32
1553844098856,4889,11075,22866,15588,12415,6131,20522,36995,1,32
1553844099863,4212,11575,2903,5327,1673,3633,226803,100335,1,32
1553844100875,11910,17517,2757,5433,1429,2938,107284,11492,1,32
1553844101861,6887,17062,24814,30649,8958,6837,342749,54008,1,32
1553844102841,28261,29119,21781,20425,14013,20931,452299,64064,1,32
1553844103858,16359,3762,10741,26603,10031,6631,703158,113308,1,32
1553844104842,19877,36976,11347,14475,13604,11372,22933,59890,1,32
1553844105835,12342,35386,9566,2479,6747,4990,140379,91977,1,32
1553844106850,11810,21835,9444,27864,4521,11578,215418,14691,1,32
1553844107816,32299,45289,38977,44508,22274,74902,1705419,184102,1,32
1553844108833,44958,69451,69308,49345,17399,43420,302716,342392,1,32
1553844109796,33803,55570,43494,21916,18693,26059,2274552,236257,1,32
1553844110816,48181,39144,27590,27714,20180,27049,222090,122965,1,32
1553844111795,69916,123614,27483,64988,32659,19649,2565928,400541,1,32
1553844112781,3686,5382,13787,2438,5564,5536,73053,74906,1,32
1553844113793,6379,12729,29690,25584,13535,19057,25185,18000,1,32
1553844114825,5367,12504,7547,17920,2822,3985,116479,70271,1,32
1553844115784,27938,29527,42732,37225,7061,7343,2115748,291875,1,32
1553844116769,101387,77320,73519,86807,22119,31582,1088024,159294,1,32
1553844117787,15952,15084,43364,7371,12874,34352,73730,160832,1,32
1553844118774,7842,21885,34453,50962,11984,17740,22614,9169,1,32
1553844119775,145230,277276,57355,29303,31633,81953,667842,335225,1,32
1553844120756,2667,4065,11570,14044,6367,7298,256909,261790,1,32
1553844121762,81603,43273,30196,47674,24039,25417,1318512,744050,1,32
1553844122757,4977,14289,11827,18242,9810,17828,545728,91410,1,32
1553844123758,6454,9435,41034,9757,4493,10919,14430,5490,1,32
1553844124740,4288,5883,3703,5487,880,1880,69922,11497,1,32
1553844125741,6113,19080,5985,2561,3119,11072,164129,45045,1,32
1553844126750,28979,4572,25722,13485,16767,18426,16601,21999,1,32
1553844127730,16783,6177,17514,13042,12046,7582,664128,577902,1,32
1553844128732,11089,2642,17184,14290,4756,5634,9535,13846,1,32
1553844129693,1018,22349,14011,4193,1915,1906,29849,31183,1,32
1553844130699,27710,87077,18525,33174,38150,16754,69413,128348,1,32
1553844131712,6571,26376,4455,9087,3536,4718,293708,80162,1,32
1553844132686,25802,8919,18702,39418,13025,19387,185588,20914,1,32
1553844133699,12030,818,8944,35488,4692,8265,315859,59347,1,32
1553844134683,14570,8865,9277,14037,10846,10957,5560,7761,1,32
1553844135693,1271,5052,1750,2061,617,1584,20903,26298,1,32
1553844136682,7306,10807,30415,31817,14104,11095,18378,25339,1,32
1553844137670,3228,3216,1229,2221,654,990,42591,7352,1,32
1553844138652,21539,7355,31559,9826,22641,13791,81624,48033,1,32
1553844139661,1713,3251,6961,2768,1433,3420,38697,28974,1,32
1553844140653,16105,153910,21337,25215,8872,33658,1486241,387433,1,32
1553844141645,21984,15133,13626,14255,11662,11041,195534,151078,1,32
1553844142639,4436,2579,5269,15162,3944,10233,503249,147311,1,32
1553844143638,39553,36916,25316,20879,7580,13566,2588478,292559,1,32
1553844144641,16307,13316,10596,3569,6795,12937,44717,81213,1,32
1553844145640,74035,279606,72853,61204,68580,11892,740597,263064,1,32
1553844146627,12803,22547,6993,20377,4734,10524,48928,26124,1,32
1553844147625,3986,3506,1417,5871,3573,4872,1178228,61955,1,32
1553844148628,9394,6902,25656,7500,18048,43258,21223,9138,1,32
1553844149610,24830,11753,30887,8484,21025,11029,5692,1900,1,32
1553844150611,4592,8391,9677,10444,2051,4181,241300,15341,1,32
1553844151596,5432,7459,6525,2649,1309,3356,50611,5366,1,32
1553844152577,19208,36350,17027,28768,5716,9241,71525,23220,1,32
1553844153598,1879,11059,13425,61517,12761,14008,166665,73929,1,32
1553844154596,15410,9592,16934,15251,12079,11439,66988,12930,1,32
1553844155587,807,6323,5671,3290,1451,1703,109504,20102,1,32
1553844156581,2713,4000,2497,2507,668,1230,49181,43003,1,32
1553844157566,16361,42019,17626,13443,28325,26672,88036,167917,1,32
1553844158551,3871,18107,6265,3899,1617,1525,75671,17788,1,32
1553844159574,8287,5826,4316,9494,3042,1351,211022,102393,1,32
1553844160568,44236,5616,15531,28007,5893,9093,422929,294728,1,32
1553844161562,37201,27700,12245,6051,5858,7611,51594,23105,1,32
1553844162554,15876,14188,16020,33394,9213,16886,282341,301626,1,32
1553844163534,5192,58342,9882,11758,6438,17416,953741,98918,1,32
1553844164545,33909,34061,17411,52151,13294,17011,2389770,371772,1,32
1553844165540,9271,43493,63836,4042,10769,99453,68580,207774,1,32
1553844166521,43890,99149,35960,45902,37337,33272,1664295,190460,1,32
1553844167524,6421,19415,6882,13445,3111,5538,601225,29598,1,32
1553844168527,28103,73975,33978,37251,14060,20000,1777530,175435,1,32
1553844169507,30662,7564,10250,8709,4634,7859,94439,57573,1,32
1553844170492,4735,3552,2175,998,1918,713,54746,24364,1,32
1553844171501,102236,419959,39480,56140,8718,8958,288092,290300,1,32
1553844172494,68500,24665,42087,22195,15459,60173,2557039,130585,1,32
1553844173499,29601,126993,57988,65959,22153,28606,1967423,508361,1,32
1553844174480,2678,5376,6684,3771,575,1061,65231,6895,1,32
1553844175462,12747,9415,13494,9097,4997,8059,548920,31044,1,32
1553844176482,24552,22853,7168,26070,1715,8304,176926,54138,1,32
1553844177489,15678,15860,25965,4083,3982,11247,117217,37217,1,32
1553844178470,167910,36654,127003,177342,50085,60069,2341850,466823,1,32
1553844179467,2877,5268,3264,3626,985,3761,593256,16653,1,32
1553844180467,4836,12277,6367,3761,9774,17944,104210,31537,1,32
1553844181451,5188,4530,5189,7822,8143,8284,271054,216770,1,32
1553844182459,4529,19145,3314,9434,1280,1928,161269,52837,1,32
1553844183440,4982,10085,14626,9951,2091,2464,6069,38716,1,32
1553844184423,20749,3948,7110,4602,1629,4516,39462,19358,1,32
1553844185443,3439,9269,12293,5204,2247,2520,11830,13177,1,32
1553844186443,3230,11507,24466,8398,1275,2698,6990,45800,1,32
1553844187405,7107,33056,17568,5044,2216,5176,51243,113433,1,32
1553844188414,14640,31981,24035,16086,4104,4556,313572,104364,1,32
1553844189395,10046,10215,11276,15430,3972,1725,24900,27055,1,32
1553844190399,5624,7094,23001,6757,4919,3836,5522,17264,1,32
1553844191390,2499,3188,3447,3788,1368,2642,108175,16337,1,32
1553844192401,8633,3032,24340,18913,1956,1798,40336,96646,1,32
1553844193379,6379,21712,21268,6535,3619,4906,23049,26997,1,32
1553844194380,5764,14202,13065,11135,2480,4227,12283,23413,1,32
1553844195365,15925,36197,18512,9052,2979,4741,30406,51304,1,32
1553844196364,24341,17276,29804,6740,3873,4025,57925,25952,1,32
1553844197366,3763,8784,4123,5289,1790,1451,180414,25935,1,32
1553844198349,17966,14409,8586,17178,3439,7225,18923,41590,1,32
1553844199366,12444,9338,22128,9242,1347,2144,48143,34432,1,32
1553844200352,4385,4589,19859,4287,2784,1594,4665,7204,1,32
1553844201349,9804,4658,3818,1865,456,1614,66438,13393,1,32
