timestamp,delta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,middleGamma,theta,isValid,pid,new_timestamp,trans_time,new_trans_time
1548206333232,11848,17650,7878,1284,6531,2614,998,5457,1,6,1548206332232.0,1.0,85.583
1548206334216,3920,11967,4513,2122,5370,3029,803,9547,1,6,1548206333232.0,0.984,86.567
1548206335199,5503,13496,7226,2316,2956,6292,4323,5277,1,6,1548206334216.0,0.983,87.55
1548206336226,5446,737,4323,18043,2023,9179,2298,3998,1,6,1548206335199.0,1.027,88.577
1548206337202,2499,6537,7113,7623,4122,2904,2043,9335,1,6,1548206336226.0,0.976,89.553
1548206338200,4122,17466,7429,9198,7303,5481,3078,21599,1,6,1548206337202.0,0.998,90.551
1548206339203,27297,2218,7850,3048,3157,4232,31541,8241,1,6,1548206338200.0,1.003,91.554
1548206340203,13032,2081,8689,5690,3822,2832,3150,10839,1,6,1548206339203.0,1.0,92.554
1548206341187,2087,447,8331,10571,1987,5915,7727,12591,1,6,1548206340203.0,0.984,93.538
1548206342179,7497,6063,7298,3677,2386,5448,3961,12041,1,6,1548206341187.0,0.992,94.53
1548206343173,3181,5534,6489,9013,6650,8641,6187,8004,1,6,1548206342179.0,0.994,95.524
1548206344174,3977,8244,1189,2789,663,1996,36940,32413,1,6,1548206343173.0,1.001,96.525
1548206345158,4695,1748,2874,9641,4223,3995,2287,8024,1,6,1548206344174.0,0.984,97.509
1548206346148,10892,1317,5854,8412,2771,7951,5698,9342,1,6,1548206345158.0,0.99,98.499
1548206347158,8638,3510,7262,2737,4375,3763,10264,13060,1,6,1548206346148.0,1.01,99.509
1548206348161,14593,13246,5291,9638,3245,3769,3889,3957,1,6,1548206347158.0,1.003,100.512
1548206349143,3934,5155,9437,5508,5318,6791,3657,4834,1,6,1548206348161.0,0.982,101.494
1548206350128,5525,6088,4850,3153,3082,6098,3175,2396,1,6,1548206349143.0,0.985,102.479
1548206351130,1960,4131,9903,2255,2067,4854,11323,6013,1,6,1548206350128.0,1.002,103.481
1548206352132,1640,2636,5054,5018,3665,4735,3853,5111,1,6,1548206351130.0,1.002,104.483
1548206353131,7343,2295,5176,4422,3242,2872,4031,11150,1,6,1548206352132.0,0.999,105.482
1548206354115,1474,3003,7900,2502,2833,3894,2854,13757,1,6,1548206353131.0,0.984,106.466
